Station,Distance Total
VIRAR,59.98
Nalla Sopara,55.85
Vasai Road,51.78
Naigaon,47.79
Bhayandar,43.11
Mira Road,39.76
Dahisar,36.34
BORIVALI,33.98
Kandivli,31.22
Malad,29.32
Goregaon,26.9
Ram Mandir,25.55
Jogeshwari,23.52
ANDHERI,21.83
Vile Parle,19.67
Santa Cruz,17.61
Khar Road,16.29
BANDRA,14.66
Mahim Jn,12.93
Matunga Road,11.75
DADAR,10.17
Prabhadevi,8.98
Lower Parel,7.67
Mahalakshmi,5.95
MUMBAI CENTRAL,4.48
Grant Road,3.59
Charni Road,2.21
Marine Lines,1.3
CHURCHGATE,0
